FlightKey,ReceiveTime,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,CraftType
2025-08-24_GCR7683_ZLXY_ZGKL,20250824215400,GCR7683,B9963,ZLXY,ZGKL,202508241955,A320
2025-08-24_GCR7683_ZLXY_ZGKL,20250824211032,GCR7683,B9963,ZLXY,ZGKL,202508241955,A320
2025-08-24_GCR7683_ZLXY_ZGKL,20250824200839,GCR7683,B9963,ZLXY,ZGKL,202508241955,A320
2025-08-24_GCR7683_ZLXY_ZGKL,20250824195012,GCR7683,B9963,ZLXY,ZGKL,202508241955,A320
2025-08-24_GCR7683_ZLXY_ZGKL,20250824194427,GCR7683,B9963,ZLXY,ZGKL,202508241955,A320
2025-08-24_GCR7683_ZLXY_ZGKL,20250824165818,GCR7683,B9963,ZLXY,ZGKL,202508241955,A320
2025-08-24_GCR7683_ZLXY_ZGKL,20250824003146,GCR7683,,ZLXY,ZGKL,202508241955,
2025-08-24_GCR7683_ZLXY_ZGKL,20250823183536,GCR7683,,ZLXY,ZGKL,202508241955,
2025-08-24_GCR7683_ZLXY_ZGKL,20250823001525,GCR7683,,ZLXY,ZGKL,202508241955,
2025-08-24_GCR7684_ZGKL_ZLXY,20250825005606,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250825005547,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250825003945,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250825003701,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250824231306,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250824230358,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250824224631,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250824224147,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250824193620,GCR7684,B9963,ZGKL,ZLXY,202508242255,A320
2025-08-24_GCR7684_ZGKL_ZLXY,20250824003809,GCR7684,,ZGKL,ZLXY,202508242255,
2025-08-24_GCR7684_ZGKL_ZLXY,20250823182730,GCR7684,,ZGKL,ZLXY,202508242255,
2025-08-24_GCR7684_ZGKL_ZLXY,20250823002215,GCR7684,,ZGKL,ZLXY,202508242255,
2025-08-24_GCR7685_ZLXY_ZHSY,20250825011149,GCR7685,B3182,ZLXY,ZHSY,202508241150,E190
2025-08-24_GCR7685_ZHSY_ZGOW,20250824162810,GCR7685,B3182,ZHSY,ZGOW,202508241345,E190
2025-08-24_GCR7685_ZHSY_ZGOW,20250824162238,GCR7685,B3182,ZHSY,ZGOW,202508241345,E190
2025-08-24_GCR7685_ZHSY_ZGOW,20250824161625,GCR7685,B3182,ZHSY,ZGOW,202508241345,E190
2025-08-24_GCR7685_ZHSY_ZGOW,20250824141826,GCR7685,B3182,ZHSY,ZGOW,202508241345,E190
2025-08-24_GCR7685_ZHSY_ZGOW,20250824141224,GCR7685,B3182,ZHSY,ZGOW,202508241345,E190
2025-08-24_GCR7685_ZHSY_ZGOW,20250824140618,GCR7685,B3182,ZHSY,ZGOW,202508241345,E190
2025-08-24_GCR7685_ZLXY_ZHSY,20250824130201,GCR7685,B3182,ZLXY,ZHSY,202508241150,E190
2025-08-24_GCR7685_ZLXY_ZHSY,20250824124749,GCR7685,B3182,ZLXY,ZHSY,202508241150,E190
2025-08-24_GCR7685_ZLXY_ZHSY,20250824121327,GCR7685,B3182,ZLXY,ZHSY,202508241150,E190
2025-08-24_GCR7685_ZLXY_ZHSY,20250824115327,GCR7685,B3182,ZLXY,ZHSY,202508241150,E190
2025-08-24_GCR7685_ZHSY_ZGOW,20250824112412,GCR7685,B3182,ZHSY,ZGOW,202508241345,E190
2025-08-24_GCR7685_ZLXY_ZHSY,20250824072810,GCR7685,B3182,ZLXY,ZHSY,202508241150,E190
2025-08-24_GCR7685_ZLXY_ZHSY,20250824003607,GCR7685,,ZLXY,ZHSY,202508241150,
2025-08-24_GCR7685_ZHSY_ZGOW,20250824003231,GCR7685,,ZHSY,ZGOW,202508241345,
2025-08-24_GCR7685_ZHSY_ZGOW,20250823183523,GCR7685,,ZHSY,ZGOW,202508241345,
2025-08-24_GCR7685_ZLXY_ZHSY,20250823182549,GCR7685,,ZLXY,ZHSY,202508241150,
2025-08-24_GCR7685_ZLXY_ZHSY,20250823001827,GCR7685,,ZLXY,ZHSY,202508241150,
2025-08-24_GCR7685_ZHSY_ZGOW,20250823001408,GCR7685,,ZHSY,ZGOW,202508241345,
2025-08-24_GCR7686_ZHSY_ZLXY,20250824215343,GCR7686,B3182,ZHSY,ZLXY,202508242100,E190
2025-08-24_GCR7686_ZHSY_ZLXY,20250824214948,GCR7686,B3182,ZHSY,ZLXY,202508242100,E190
2025-08-24_GCR7686_ZHSY_ZLXY,20250824210427,GCR7686,B3182,ZHSY,ZLXY,202508242100,E190
2025-08-24_GCR7686_ZHSY_ZLXY,20250824205847,GCR7686,B3182,ZHSY,ZLXY,202508242100,E190
2025-08-24_GCR7686_ZHSY_ZLXY,20250824205409,GCR7686,B3182,ZHSY,ZLXY,202508242100,E190
2025-08-24_GCR7686_ZGOW_ZHSY,20250824193603,GCR7686,B3182,ZGOW,ZHSY,202508241710,E190
